"medv","crim","zn","chas","nox","rm","dis"
22.2,0.24103,0,0,0.493,6.083,5.4159
19.3,0.06617,0,0,0.46,5.868,5.2146
22.6,0.06724,0,0,0.46,6.333,5.2146
19.8,0.04544,0,0,0.46,6.144,5.8736
17.1,0.05023,35,0,0.4379,5.706,6.6407
19.4,0.03466,35,0,0.4379,6.031,6.6407
22.2,0.05083,0,0,0.515,6.316,6.4584
20.7,0.03738,0,0,0.515,6.31,6.4584
21.1,0.03961,0,0,0.515,6.037,5.9853
19.5,0.03427,0,0,0.515,5.869,5.2311
18.5,0.03041,0,0,0.515,5.895,5.615
20.6,0.03306,0,0,0.515,6.059,4.8122
19,0.05497,0,0,0.515,5.985,4.8122
18.7,0.06151,0,0,0.515,5.968,4.8122
32.7,0.01301,35,0,0.442,7.241,7.0379
16.5,0.02498,0,0,0.518,6.54,6.2669
23.9,0.02543,55,0,0.484,6.696,5.7321
31.2,0.03049,55,0,0.484,6.874,6.4654
17.5,0.03113,0,0,0.442,6.014,8.0136
17.2,0.06162,0,0,0.442,5.898,8.0136
23.1,0.0187,85,0,0.429,6.516,8.5353
24.5,0.01501,80,0,0.435,6.635,8.344
26.6,0.02899,40,0,0.429,6.939,8.7921
22.9,0.06211,40,0,0.429,6.49,8.7921
24.1,0.0795,60,0,0.411,6.579,10.7103
18.6,0.07244,60,0,0.411,5.884,10.7103
30.1,0.01709,90,0,0.41,6.728,12.1265
18.2,0.04301,80,0,0.413,5.663,10.5857
20.6,0.10659,80,0,0.413,5.936,10.5857
17.8,8.98296,0,1,0.77,6.212,2.1222
21.7,3.8497,0,1,0.77,6.395,2.5052
22.7,5.20177,0,1,0.77,6.127,2.7227
22.6,4.26131,0,0,0.77,6.112,2.5091
25,4.54192,0,0,0.77,6.398,2.5182
19.9,3.83684,0,0,0.77,6.251,2.2955
20.8,3.67822,0,0,0.77,5.362,2.1036
16.8,4.22239,0,1,0.77,5.803,1.9047
21.9,3.47428,0,1,0.718,8.78,1.9047
27.5,4.55587,0,0,0.718,3.561,1.6132
21.9,3.69695,0,0,0.718,4.963,1.7523
23.1,13.5222,0,0,0.631,3.863,1.5106
50,4.89822,0,0,0.631,4.97,1.3325
50,5.66998,0,1,0.631,6.683,1.3567
50,6.53876,0,1,0.631,7.016,1.2024
50,9.2323,0,0,0.631,6.216,1.1691
50,8.26725,0,1,0.668,5.875,1.1296
13.8,11.1081,0,0,0.668,4.906,1.1742
13.8,18.4982,0,0,0.668,4.138,1.137
15,19.6091,0,0,0.671,7.313,1.3163
13.9,15.288,0,0,0.671,6.649,1.3449
13.3,9.82349,0,0,0.671,6.794,1.358
13.1,23.6482,0,0,0.671,6.38,1.3861
10.2,17.8667,0,0,0.671,6.223,1.3861
10.4,88.9762,0,0,0.671,6.968,1.4165
10.9,15.8744,0,0,0.671,6.545,1.5192
11.3,9.18702,0,0,0.7,5.536,1.5804
12.3,7.99248,0,0,0.7,5.52,1.5331
8.8,20.0849,0,0,0.7,4.368,1.4395
7.2,16.8118,0,0,0.7,5.277,1.4261
10.5,24.3938,0,0,0.7,4.652,1.4672
7.4,22.5971,0,0,0.7,5,1.5184
10.2,14.3337,0,0,0.7,4.88,1.5895
11.5,8.15174,0,0,0.7,5.39,1.7281
15.1,6.96215,0,0,0.7,5.713,1.9265
23.2,5.29305,0,0,0.7,6.051,2.1678
9.7,11.5779,0,0,0.7,5.036,1.77
13.8,8.64476,0,0,0.693,6.193,1.7912
12.7,13.3598,0,0,0.693,5.887,1.7821
13.1,8.71675,0,0,0.693,6.471,1.7257
12.5,5.87205,0,0,0.693,6.405,1.6768
8.5,7.67202,0,0,0.693,5.747,1.6334
5,38.3518,0,0,0.693,5.453,1.4896
6.3,9.91655,0,0,0.693,5.852,1.5004
5.6,25.0461,0,0,0.693,5.987,1.5888
7.2,14.2362,0,0,0.693,6.343,1.5741
12.1,9.59571,0,0,0.693,6.404,1.639
8.3,24.8017,0,0,0.693,5.349,1.7028
8.5,41.5292,0,0,0.693,5.531,1.6074
5,67.9208,0,0,0.693,5.683,1.4254
11.9,20.7162,0,0,0.659,4.138,1.1781
27.9,11.9511,0,0,0.659,5.608,1.2852
17.2,7.40389,0,0,0.597,5.617,1.4547
27.5,14.4383,0,0,0.597,6.852,1.4655
15,51.1358,0,0,0.597,5.757,1.413
17.2,14.0507,0,0,0.597,6.657,1.5275
17.9,18.811,0,0,0.597,4.628,1.5539
16.3,28.6558,0,0,0.597,5.155,1.5894
7,45.7461,0,0,0.693,4.519,1.6582
7.2,18.0846,0,0,0.679,6.434,1.8347
7.5,10.8342,0,0,0.679,6.782,1.8195
10.4,25.9406,0,0,0.679,5.304,1.6475
8.8,73.5341,0,0,0.679,5.957,1.8026
8.4,11.8123,0,0,0.718,6.824,1.794
16.7,11.0874,0,0,0.718,6.411,1.8589
14.2,7.02259,0,0,0.718,6.006,1.8746
20.8,12.0482,0,0,0.614,5.648,1.9512
13.4,7.05042,0,0,0.614,6.103,2.0218
11.7,8.79212,0,0,0.584,5.565,2.0635
8.3,15.8603,0,0,0.679,5.896,1.9096
10.2,12.2472,0,0,0.584,5.837,1.9976
10.9,37.6619,0,0,0.679,6.202,1.8629
11,7.36711,0,0,0.679,6.193,1.9356
9.5,9.33889,0,0,0.679,6.38,1.9682
14.5,8.49213,0,0,0.584,6.348,2.0527
14.1,10.0623,0,0,0.584,6.833,2.0882
16.1,6.44405,0,0,0.584,6.425,2.2004
14.3,5.58107,0,0,0.713,6.436,2.3158
11.7,13.9134,0,0,0.713,6.208,2.2222
13.4,11.1604,0,0,0.74,6.629,2.1247
9.6,14.4208,0,0,0.74,6.461,2.0026
8.7,15.1772,0,0,0.74,6.152,1.9142
8.4,13.6781,0,0,0.74,5.935,1.8206
12.8,9.39063,0,0,0.74,5.627,1.8172
10.5,22.0511,0,0,0.74,5.818,1.8662
17.1,9.72418,0,0,0.74,6.406,2.0651
18.4,5.66637,0,0,0.74,6.219,2.0048
15.4,9.96654,0,0,0.74,6.485,1.9784
10.8,12.8023,0,0,0.74,5.854,1.8956
11.8,10.6718,0,0,0.74,6.459,1.9879
14.9,6.28807,0,0,0.74,6.341,2.072
12.6,9.92485,0,0,0.74,6.251,2.198
14.1,9.32909,0,0,0.713,6.185,2.2616
13,7.52601,0,0,0.713,6.417,2.185
13.4,6.71772,0,0,0.713,6.749,2.3236
15.2,5.44114,0,0,0.713,6.655,2.3552
16.1,5.09017,0,0,0.713,6.297,2.3682
17.8,8.24809,0,0,0.713,7.393,2.4527
14.9,9.51363,0,0,0.713,6.728,2.4961
14.1,4.75237,0,0,0.713,6.525,2.4358
12.7,4.66883,0,0,0.713,5.976,2.5806
13.5,8.20058,0,0,0.713,5.936,2.7792
14.9,7.75223,0,0,0.713,6.301,2.7831
20,6.80117,0,0,0.713,6.081,2.7175
16.4,4.81213,0,0,0.713,6.701,2.5975
17.7,3.69311,0,0,0.713,6.376,2.5671
19.5,6.65492,0,0,0.713,6.317,2.7344
20.2,5.82115,0,0,0.713,6.513,2.8016
21.4,7.83932,0,0,0.655,6.209,2.9634
19.9,3.1636,0,0,0.655,5.759,3.0665
19,3.77498,0,0,0.655,5.952,2.8715
19.1,4.42228,0,0,0.584,6.003,2.5403
19.1,15.5757,0,0,0.58,5.926,2.9084
20.1,13.0751,0,0,0.58,5.713,2.8237
19.9,4.34879,0,0,0.58,6.167,3.0334
19.6,4.03841,0,0,0.532,6.229,3.0993
23.2,3.56868,0,0,0.58,6.437,2.8965
29.8,4.64689,0,0,0.614,6.98,2.5329
13.8,8.05579,0,0,0.584,5.427,2.4298
13.3,6.39312,0,0,0.584,6.162,2.206
16.7,4.87141,0,0,0.614,6.484,2.3053
12,15.0234,0,0,0.614,5.304,2.1007
14.6,10.233,0,0,0.614,6.185,2.1705
21.4,14.3337,0,0,0.614,6.229,1.9512
23,5.82401,0,0,0.532,6.242,3.4242
23.7,5.70818,0,0,0.532,6.75,3.3317
25,5.73116,0,0,0.532,7.061,3.4106
21.8,2.81838,0,0,0.532,5.762,4.0983
20.6,2.37857,0,0,0.583,5.871,3.724
21.2,3.67367,0,0,0.583,6.312,3.9917
19.1,5.69175,0,0,0.583,6.114,3.5459
20.6,4.83567,0,0,0.583,5.905,3.1523
15.2,0.15086,0,0,0.609,5.454,1.8209
7,0.18337,0,0,0.609,5.414,1.7554
8.1,0.20746,0,0,0.609,5.093,1.8226
13.6,0.10574,0,0,0.609,5.983,1.8681
20.1,0.11132,0,0,0.609,5.983,2.1099
21.8,0.17331,0,0,0.585,5.707,2.3817
24.5,0.27957,0,0,0.585,5.926,2.3817
23.1,0.17899,0,0,0.585,5.67,2.7986
19.7,0.2896,0,0,0.585,5.39,2.7986
18.3,0.26838,0,0,0.585,5.794,2.8927
21.2,0.23912,0,0,0.585,6.019,2.4091
17.5,0.17783,0,0,0.585,5.569,2.3999
16.8,0.22438,0,0,0.585,6.027,2.4982
22.4,0.06263,0,0,0.573,6.593,2.4786
20.6,0.04527,0,0,0.573,6.12,2.2875
23.9,0.06076,0,0,0.573,6.976,2.1675
22,0.10959,0,0,0.573,6.794,2.3889
11.9,0.04741,0,0,0.573,6.03,2.505
